TimeStep,Vel,Enc1,Enc2,SteerDegCmd,SteerDegMega,Stepper,State,X,Y,YawDeg,CurrentSeg,UturnActive,UturnDir
96,0.04204943666193084,-135218,121378,0,0,0.0,APPROACHING,1.9780566336804006,0.5,0.0,0,False,
97,0.04064778877319983,-135218,121378,0,0,0.0,APPROACHING,1.9821214125577207,0.5,0.0,0,False,
98,0.0,-135218,121378,0,0,0.0,STOPPING,1.9821214125577207,0.5,0.0,0,False,
99,0.0,-135218,121378,0,0,0.0,STOPPING,1.9821214125577207,0.5,0.0,0,False,
100,0.0,-135218,121378,0,0,0.0,STOPPING,1.9821214125577207,0.5,0.0,0,False,
101,0.0,-135218,121378,0,0,0.0,STEPPER_DOWN,1.9821214125577207,0.5,0.0,0,False,
102,0.0,-135218,121378,0,0,0.045454545454545456,STEPPER_DOWN,1.9821214125577207,0.5,0.0,0,False,
103,0.0,-135218,121378,0,0,0.09090909090909091,STEPPER_DOWN,1.9821214125577207,0.5,0.0,0,False,
104,0.0,-135218,121378,0,0,0.13636363636363638,STEPPER_DOWN,1.9821214125577207,0.5,0.0,0,False,
105,0.0,-135218,121378,0,0,0.18181818181818182,STEPPER_DOWN,1.9821214125577207,0.5,0.0,0,False,
106,0.0,-135218,121378,0,0,0.22727272727272727,STEPPER_DOWN,1.9821214125577207,0.5,0.0,0,False,
107,0.0,-135218,121378,0,0,0.2727272727272727,STEPPER_DOWN,1.9821214125577207,0.5,0.0,0,False,
108,0.0,-135218,121378,0,0,0.3181818181818181,STEPPER_DOWN,1.9821214125577207,0.5,0.0,0,False,
109,0.0,-135405,121599,0,0,0.3636363636363636,STEPPER_DOWN,1.9821214125577207,0.5,0.0,0,False,
110,0.0,-135405,121599,0,0,0.409090909090909,STEPPER_DOWN,1.9821214125577207,0.5,0.0,0,False,
111,0.0,-135405,121599,0,0,0.4545454545454545,STEPPER_DOWN,1.9821214125577207,0.5,0.0,0,False,
112,0.0,-135405,121599,0,0,0.4999999999999999,STEPPER_DOWN,1.9821214125577207,0.5,0.0,0,False,
113,0.0,-135405,121599,0,0,0.5454545454545454,STEPPER_DOWN,1.9821214125577207,0.5,0.0,0,False,
114,0.0,-135405,121599,0,0,0.5909090909090908,STEPPER_DOWN,1.9821214125577207,0.5,0.0,0,False,
115,0.0,-135405,121599,0,0,0.6363636363636364,STEPPER_DOWN,1.9821214125577207,0.5,0.0,0,False,
116,0.0,-135405,121599,0,0,0.6818181818181819,STEPPER_DOWN,1.9821214125577207,0.5,0.0,0,False,
117,0.0,-135405,121599,0,0,0.7272727272727274,STEPPER_DOWN,1.9821214125577207,0.5,0.0,0,False,
118,0.0,-135405,121599,0,0,0.7727272727272728,STEPPER_DOWN,1.9821214125577207,0.5,0.0,0,False,
119,0.0,-135405,121599,0,0,0.8181818181818183,STEPPER_DOWN,1.9821214125577207,0.5,0.0,0,False,
120,0.0,-135405,121599,0,0,0.8636363636363639,STEPPER_DOWN,1.9821214125577207,0.5,0.0,0,False,
121,0.0,-135405,121599,0,0,0.9090909090909092,STEPPER_DOWN,1.9821214125577207,0.5,0.0,0,False,
122,0.0,-135405,121599,0,0,0.9545454545454547,STEPPER_DOWN,1.9821214125577207,0.5,0.0,0,False,
123,0.0,-135405,121599,0,0,1.0,BENIH_BUKA,1.9821214125577207,0.5,0.0,0,False,
124,0.0,-135405,121599,0,0,1.0,BENIH_BUKA,1.9821214125577207,0.5,0.0,0,False,
125,0.0,-135405,121599,0,0,1.0,BENIH_BUKA,1.9821214125577207,0.5,0.0,0,False,
126,0.0,-135405,121599,0,0,1.0,BENIH_BUKA,1.9821214125577207,0.5,0.0,0,False,
127,0.0,-135405,121599,0,0,1.0,BENIH_BUKA,1.9821214125577207,0.5,0.0,0,False,
128,0.0,-135405,121599,0,0,1.0,BENIH_DORONG,1.9821214125577207,0.5,0.0,0,False,
129,0.0,-135405,121599,0,0,1.0,HOLDING,1.9821214125577207,0.5,0.0,0,False,
130,0.0,-135405,121599,0,0,1.0,HOLDING,1.9821214125577207,0.5,0.0,0,False,
131,0.0,-135405,121599,0,0,1.0,STEPPER_UP,1.9821214125577207,0.5,0.0,0,False,
132,0.0,-135405,121599,0,0,0.9545454545454546,STEPPER_UP,1.9821214125577207,0.5,0.0,0,False,
133,0.0,-135405,121599,0,0,0.9090909090909091,STEPPER_UP,1.9821214125577207,0.5,0.0,0,False,
134,0.0,-135405,121599,0,0,0.8636363636363636,STEPPER_UP,1.9821214125577207,0.5,0.0,0,False,
135,0.0,-135405,121599,0,0,0.8181818181818181,STEPPER_UP,1.9821214125577207,0.5,0.0,0,False,
